thoi_gian,ten_benh,luot_tim_kiem
2026-04-29 22:00:00,bệnh sởi,0
2026-04-29 23:00:00,bệnh sởi,0
2026-04-30 00:00:00,bệnh sởi,0
2026-04-30 01:00:00,bệnh sởi,0
2026-04-30 02:00:00,bệnh sởi,94
2026-04-30 03:00:00,bệnh sởi,0
2026-04-30 04:00:00,bệnh sởi,87
2026-04-30 05:00:00,bệnh sởi,73
2026-04-30 06:00:00,bệnh sởi,99
2026-04-30 07:00:00,bệnh sởi,0
2026-04-30 08:00:00,bệnh sởi,0
2026-04-30 09:00:00,bệnh sởi,0
2026-04-30 10:00:00,bệnh sởi,0
2026-04-30 11:00:00,bệnh sởi,0
2026-04-30 12:00:00,bệnh sởi,0
2026-04-30 13:00:00,bệnh sởi,0
2026-04-30 14:00:00,bệnh sởi,0
2026-04-30 15:00:00,bệnh sởi,0
2026-04-30 16:00:00,bệnh sởi,0
2026-04-30 17:00:00,bệnh sởi,0
2026-04-30 18:00:00,bệnh sởi,0
2026-04-30 19:00:00,bệnh sởi,0
2026-04-30 20:00:00,bệnh sởi,0
2026-04-30 21:00:00,bệnh sởi,0
2026-04-30 22:00:00,bệnh sởi,0
2026-04-30 23:00:00,bệnh sởi,0
2026-05-01 00:00:00,bệnh sởi,0
2026-05-01 01:00:00,bệnh sởi,0
2026-05-01 02:00:00,bệnh sởi,0
2026-05-01 03:00:00,bệnh sởi,0
2026-05-01 04:00:00,bệnh sởi,0
2026-05-01 05:00:00,bệnh sởi,0
2026-05-01 06:00:00,bệnh sởi,0
2026-05-01 07:00:00,bệnh sởi,0
2026-05-01 08:00:00,bệnh sởi,0
2026-05-01 09:00:00,bệnh sởi,0
2026-05-01 10:00:00,bệnh sởi,0
2026-05-01 11:00:00,bệnh sởi,58
2026-05-01 12:00:00,bệnh sởi,0
2026-05-01 13:00:00,bệnh sởi,0
2026-05-01 14:00:00,bệnh sởi,0
2026-05-01 15:00:00,bệnh sởi,0
2026-05-01 16:00:00,bệnh sởi,0
2026-05-01 17:00:00,bệnh sởi,0
2026-05-01 18:00:00,bệnh sởi,0
